Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date
259,476929.776,5429130.403,34.47,2.31,br01,2026-03-08
260,476959.058,5429121.927,33.0,2.15,br01,2026-03-08
261,476999.134,5429170.936,38.15,2.94,br01,2026-03-08
262,476946.466,5429119.561,33.99,2.99,br01,2026-03-08
263,476977.891,5429115.647,29.5,1.42,br01,2026-03-08
264,477000.116,5429178.577,39.29,3.94,br01,2026-03-08
265,477001.589,5429243.513,44.52,2.34,br01,2026-03-08
266,476976.311,5429116.457,29.6,1.97,br01,2026-03-08
267,476924.622,5429174.081,49.63,2.35,br01,2026-03-08
268,476991.125,5429180.864,40.49,2.43,br01,2026-03-08
269,476946.028,5429139.014,34.69,4.27,br01,2026-03-08
270,476973.292,5429131.743,30.83,2.44,br01,2026-03-08
271,476952.281,5429123.145,33.48,3.25,br01,2026-03-08
272,476946.902,5429122.018,35.62,1.36,br01,2026-03-08
273,476993.704,5429179.92,42.05,4.01,br01,2026-03-08
274,476931.414,5429178.928,51.53,5.31,br01,2026-03-08
275,476985.128,5429182.239,45.29,2.3,br01,2026-03-08
276,476925.358,5429130.921,33.7,4.47,br01,2026-03-08
277,477018.279,5429228.951,41.81,3.23,br01,2026-03-08
278,476998.187,5429152.415,39.82,3.03,br01,2026-03-08
279,476981.61,5429166.191,33.28,3.23,br01,2026-03-08
280,477023.818,5429210.328,43.17,4.05,br01,2026-03-08
281,477013.347,5429190.705,39.34,2.68,br01,2026-03-08
282,476982.083,5429144.093,37.92,3.33,br01,2026-03-08
283,476954.763,5429117.347,34.42,2.15,br01,2026-03-08
284,476984.184,5429180.636,42.63,1.95,br01,2026-03-08
285,476930.618,5429128.768,34.24,2.06,br01,2026-03-08
286,476934.694,5429132.151,32.88,1.91,br01,2026-03-08
287,476927.955,5429133.139,33.9,4.3,br01,2026-03-08
288,477004.922,5429241.091,46.82,2.05,br01,2026-03-08
289,476995.568,5429178.972,43.98,2.77,br01,2026-03-08
290,477012.033,5429187.472,41.33,1.66,br01,2026-03-08
291,476925.797,5429141.685,35.67,1.82,br01,2026-03-08
292,477022.301,5429210.737,37.0,3.05,br01,2026-03-08
293,476996.307,5429177.668,41.48,1.68,br01,2026-03-08
294,476984.543,5429128.167,33.72,4.92,br01,2026-03-08
295,476975.283,5429118.736,30.02,1.81,br01,2026-03-08
296,476938.103,5429133.14,36.31,3.34,br01,2026-03-08
297,477013.806,5429213.041,42.19,5.3,br01,2026-03-08
298,476925.735,5429140.423,35.41,1.87,br01,2026-03-08
299,476928.016,5429128.94,32.53,2.87,br01,2026-03-08
300,477012.293,5429185.988,38.58,1.55,br01,2026-03-08
301,477012.589,5429229.939,40.68,2.61,br01,2026-03-08
302,477014.656,5429232.356,44.06,5.71,br01,2026-03-08
303,476930.246,5429172.277,47.46,4.21,br01,2026-03-08
304,476991.076,5429227.512,46.36,4.26,br01,2026-03-08
305,476933.772,5429179.313,50.46,1.69,br01,2026-03-08
306,476996.822,5429184.36,39.78,6.6,br01,2026-03-08
307,476933.947,5429128.656,32.1,2.72,br01,2026-03-08
308,476969.988,5429123.204,31.42,4.14,br01,2026-03-08
309,477018.987,5429219.164,42.81,1.69,br01,2026-03-08
310,476926.896,5429129.671,33.4,3.71,br01,2026-03-08
311,476953.571,5429122.884,33.65,1.84,br01,2026-03-08
312,476968.625,5429118.507,28.0,2.89,br01,2026-03-08
313,476995.424,5429173.576,37.28,1.97,br01,2026-03-08
314,476932.144,5429131.852,34.57,1.48,br01,2026-03-08
315,476973.593,5429156.072,40.29,3.26,br01,2026-03-08
316,476996.865,5429163.143,40.13,3.79,br01,2026-03-08
317,476960.934,5429119.277,32.46,2.52,br01,2026-03-08
318,477007.683,5429199.166,40.75,2.07,br01,2026-03-08
319,477014.119,5429189.743,38.68,1.13,br01,2026-03-08
320,476990.602,5429135.887,30.71,3.07,br01,2026-03-08
321,476934.452,5429177.443,50.0,1.63,br01,2026-03-08
